Indicator Name	Indicator Code	Country Name	Country Code	2000	2010
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	"Venezuela, RB"	VEN	3.686944167	-1.488791251
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Vietnam	VNM	6.787316408	6.783424448
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Virgin Islands (U.S.)	VIR		
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	West Bank and Gaza	WBG	-5.554448678	
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	World	WLD	4.194884867	4.341001518
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	"Yemen, Rep."	YEM	6.18191561	7.702205243
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Zambia	ZMB	3.516957494	7.620163433
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Zimbabwe	ZWE	-3.059189752	9.62018498
GDP (current US$)	NY.GDP.MKTP.CD	Afghanistan	AFG		15712654583
GDP (current US$)	NY.GDP.MKTP.CD	Albania	ALB	3686649387	11858216877
GDP (current US$)	NY.GDP.MKTP.CD	Algeria	DZA	54790058957	1.61979E+11
GDP (current US$)	NY.GDP.MKTP.CD	American Samoa	ASM		
GDP (current US$)	NY.GDP.MKTP.CD	Andorra	ADO	1133644295	
GDP (current US$)	NY.GDP.MKTP.CD	Angola	AGO	4155711074	80856694812
GDP (current US$)	NY.GDP.MKTP.CD	Antigua and Barbuda	ATG	787693391.3	1153788954
GDP (current US$)	NY.GDP.MKTP.CD	Arab World	ARB	7.23411E+11	1.98315E+12
GDP (current US$)	NY.GDP.MKTP.CD	Argentina	ARG	2.84204E+11	3.68736E+11
GDP (current US$)	NY.GDP.MKTP.CD	Armenia	ARM	1911563665	9371175470
GDP (current US$)	NY.GDP.MKTP.CD	Aruba	ABW	1858659293	
GDP (current US$)	NY.GDP.MKTP.CD	Australia	AUS	4.15774E+11	1.1392E+12
GDP (current US$)	NY.GDP.MKTP.CD	Austria	AUT	1.92071E+11	3.76838E+11
GDP (current US$)	NY.GDP.MKTP.CD	Azerbaijan	AZE	5272617196	52905998879
GDP (current US$)	NY.GDP.MKTP.CD	"Bahamas, The"	BHS	6327552000	7771258000
GDP (current US$)	NY.GDP.MKTP.CD	Bahrain	BHR	7970690894	22945456867
GDP (current US$)	NY.GDP.MKTP.CD	Bangladesh	BGD	47124925462	1.00357E+11
GDP (current US$)	NY.GDP.MKTP.CD	Barbados	BRB	2558850048	4109500000
GDP (current US$)	NY.GDP.MKTP.CD	Belarus	BLR	12736856485	55211849614
GDP (current US$)	NY.GDP.MKTP.CD	Belgium	BEL	2.32673E+11	4.68586E+11
GDP (current US$)	NY.GDP.MKTP.CD	Belize	BLZ	831750000	1398500000
GDP (current US$)	NY.GDP.MKTP.CD	Benin	BEN	2254838685	6558349890
GDP (current US$)	NY.GDP.MKTP.CD	Bermuda	BMU	3480219000	5764584000
GDP (current US$)	NY.GDP.MKTP.CD	Bhutan	BTN	439158233.5	1585048127
GDP (current US$)	NY.GDP.MKTP.CD	Bolivia	BOL	8397858206	19649724656
GDP (current US$)	NY.GDP.MKTP.CD	Bosnia and Herzegovina	BIH	5505984456	16647485125
GDP (current US$)	NY.GDP.MKTP.CD	Botswana	BWA	5632594711	14904834649
GDP (current US$)	NY.GDP.MKTP.CD	Brazil	BRA	6.44702E+11	2.14304E+12
GDP (current US$)	NY.GDP.MKTP.CD	Brunei Darussalam	BRN	6001153318	12369708859
GDP (current US$)	NY.GDP.MKTP.CD	Bulgaria	BGR	12903546765	47727325909
GDP (current US$)	NY.GDP.MKTP.CD	Burkina Faso	BFA	2610945549	8825364008
GDP (current US$)	NY.GDP.MKTP.CD	Burundi	BDI	835334806.6	2026862708
GDP (current US$)	NY.GDP.MKTP.CD	Cambodia	KHM	3654031716	11242266334
GDP (current US$)	NY.GDP.MKTP.CD	Cameroon	CMR	9287367569	22426024466
